Rule,Text,Topic
3310,(a) Establish and implement policies and procedures that can be reasonably expected to detect and cause the reporting of transactions required under 31 U.S.C. 5318(g) and the implementing regulations thereunder.,Anti-Money Laundering
3310,"(b) Establish and implement policies, procedures, and internal controls reasonably designed to achieve compliance with the Bank Secrecy Act and the implementing regulations thereunder.",Anti-Money Laundering
3310,"(c) Provide for annual (on a calendar-year basis) independent testing for compliance to be conducted by member personnel or by a qualified outside party, unless the member does not execute transactions for customers or otherwise hold customer accounts or act as an introducing broker with respect to customer accounts (e.g., engages solely in proprietary trading or conducts business only with other broker-dealers), in which case such ""independent testing"" is required every two years (on a calendar-year basis).",Anti-Money Laundering
3310,"(d) Designate and identify to FINRA (by name, title, mailing address, e-mail address, telephone number, and facsimile number) an individual or individuals responsible for implementing and monitoring the day-to-day operations and internal controls of the program (such individual or individuals must be an associated person of the member) and provide prompt notification to FINRA regarding any change in such designation(s).",Anti-Money Laundering
3310,(e) Provide ongoing training for appropriate personnel.,Anti-Money Laundering
3310,"(f) Include appropriate risk-based procedures for conducting ongoing customer due diligence, to include, but not be limited to:
(i) Understanding the nature and purpose of customer relationships for the purpose of developing a customer risk profile; and
(ii) Conducting ongoing monitoring to identify and report suspicious transactions and, on a risk basis, to maintain and update customer information. For purposes of paragraph (f)(ii), customer information shall include information regarding the beneficial owners of legal entity customers (as defined in 31 CFR 1010.230(e)).",Anti-Money Laundering
331,(a) Establish and implement policies and procedures that can be reasonably expected to detect and cause the reporting of transactions required under 31 U.S.C. 5318(g) and the implementing regulations thereunder;,Anti-Money Laundering
331,"(b) Establish and implement policies, procedures, and internal controls reasonably designed to achieve compliance with the Bank Secrecy Act and the implementing regulations thereunder;",Anti-Money Laundering
331,"(c) Provide for independent testing for compliance, no less frequently than every two years, to be conducted by capital acquisition broker personnel or by a qualified outside party.",Anti-Money Laundering
331,"(d) Designate and identify to FINRA (by name, title, mailing address, e-mail address, telephone number, and facsimile number) an individual or individuals responsible for implementing and monitoring the day-to-day operations and internal controls of the program (such individual or individuals must be an associated person of the capital acquisition broker) and provide prompt notification to FINRA regarding any change in such designation(s).",Anti-Money Laundering
331,(e) Provide ongoing training for appropriate personnel.,Anti-Money Laundering
