Rule,Text,Topic
3310,"Each member shall develop and implement a written anti-money laundering program reasonably designed to achieve and monitor the member's compliance with the requirements of the Bank Secrecy Act (31 U.S.C. 5311, et seq.), and the implementing regulations promulgated thereunder by the Department of the Treasury. Each member's anti-money laundering program must be approved, in writing, by a member of senior management.",Anti-Money Laundering
3310,"The anti-money laundering programs required by this Rule shall, Establish and implement policies and procedures that can be reasonably expected to detect and cause the reporting of transactions required under 31 U.S.C. 5318(g) and the implementing regulations thereunder; and Establish and implement policies, procedures, and internal controls reasonably designed to achieve compliance with the Bank Secrecy Act and the implementing regulations thereunder.",Anti-Money Laundering
3310,"Provide for annual (on a calendar-year basis) independent testing for compliance to be conducted by member personnel or by a qualified outside party, unless the member does not execute transactions for customers or otherwise hold customer accounts or act as an introducing broker with respect to customer accounts (e.g., engages solely in proprietary trading or conducts business only with other broker-dealers), in which case such ""independent testing"" is required every two years (on a calendar-year basis).",Anti-Money Laundering
3310,"The anti-money laundering programs required by this Rule shall, Designate and identify to FINRA (by name, title, mailing address, e-mail address, telephone number, and facsimile number) an individual or individuals responsible for implementing and monitoring the day-to-day operations and internal controls of the program (such individual or individuals must be an associated person of the member) and provide prompt notification to FINRA regarding any change in such designation(s).",Anti-Money Laundering
3310,"The anti-money laundering programs required by this Rule shall, Provide ongoing training for appropriate personnel and include appropriate risk-based procedures for conducting ongoing customer due diligence, to include, but not be limited to understanding the nature and purpose of customer relationships for the purpose of developing a customer risk profile.",Anti-Money Laundering
3310,"The anti-money laundering programs required by this Rule shall, Include appropriate risk-based procedures for conducting ongoing customer due diligence, to include, but not be limited to conducting ongoing monitoring to identify and report suspicious transactions and, on a risk basis, to maintain and update customer information. For purposes of paragraph ,customer information shall include information regarding the beneficial owners of legal entity customers (as defined in 31 CFR 1010.230(e)).",Anti-Money Laundering
331,"Each capital acquisition broker shall develop and implement a written anti-money laundering program reasonably designed to achieve and monitor its compliance with the requirements of the Bank Secrecy Act (31 U.S.C. 5311, et seq.), and the implementing regulations promulgated thereunder by the Department of the Treasury. Each capital acquisition broker's anti-money laundering program must be approved, in writing, by a member of senior management.",Anti-Money Laundering
331,"The anti-money laundering programs required by this Rule must, Provide for independent testing for compliance, no less frequently than every two years, to be conducted by capital acquisition broker personnel or by a qualified outside party; and Provide ongoing training for appropriate personnel.",Anti-Money Laundering
331,"The anti-money laundering programs required by this Rule must, Designate and identify to FINRA (by name, title, mailing address, e-mail address, telephone number, and facsimile number) an individual or individuals responsible for implementing and monitoring the day-to-day operations and internal controls of the program (such individual or individuals must be an associated person of the capital acquisition broker) and provide prompt notification to FINRA regarding any change in such designation(s).",Anti-Money Laundering
331,"The anti-money laundering programs required by this Rule must, Provide ongoing training for appropriate personnel.",Anti-Money Laundering
2273,"A member that hires or associates with a registered person shall provide to a former customer of the registered person, individually, in paper or electronic form, an educational communication prepared by FINRA when the member, directly or through that registered person, individually contacts the former customer of that registered person to transfer assets.",Broker-Dealer Recruitment Disclosures: Complying with FINRA Rule 2273
2273,"A member that hires or associates with a registered person shall provide to a former customer of the registered person, individually, in paper or electronic form, an educational communication prepared by FINRA when the former customer of that registered person, absent individualized contact, transfers assets to an account assigned, or to be assigned, to the registered person at the member.",Broker-Dealer Recruitment Disclosures: Complying with FINRA Rule 2273
2273,"A member shall deliver the communication at the time of first individualized contact with a former customer by the registered person or the member regarding the former customer transferring assets to the member. If the contact is in writing, the written communication is required. If the contact is by electronic communication, the member may hyperlink directly to the educational communication.",Broker-Dealer Recruitment Disclosures: Complying with FINRA Rule 2273
2273,"If the contact is oral, the member or registered person must notify the former customer orally that an educational communication that includes important considerations in deciding whether to transfer assets to the member will be provided not later than three business days after the contact. The educational communication must be sent within three business days from such oral contact or with any other documentation sent to the former customer related to transferring assets to the member, whichever is earlier.",Broker-Dealer Recruitment Disclosures: Complying with FINRA Rule 2273
2273,"If a former customer attempts to transfer assets to an account assigned, or to be assigned, to the registered person at the member, but no individualized contact with the former customer by the registered person or member occurs before the former customer seeks to transfer assets, the member shall deliver the educational communication to the former customer with the account transfer approval documentation.",Broker-Dealer Recruitment Disclosures: Complying with FINRA Rule 2273
2273,The delivery of the educational communication shall apply for a period of three months following the date the registered person begins employment or associates with the member.,Broker-Dealer Recruitment Disclosures: Complying with FINRA Rule 2273
4370,"Each member must create and maintain a written business continuity plan identifying procedures relating to an emergency or significant business disruption. Such procedures must be reasonably designed to enable the member to meet its existing obligations to customers. In addition, such procedures must address the member's existing relationships with other broker-dealers and counter-parties. The business continuity plan must be made available promptly upon request to FINRA staff.",Business Continuity Planning
4370,"Each member must update its plan in the event of any material change to the member's operations, structure, business or location. Each member must also conduct an annual review of its business continuity plan to determine whether any modifications are necessary in light of changes to the member's operations, structure, business, or location.",Business Continuity Planning
4370,"The elements that comprise a business continuity plan are flexible and may be tailored to the size and needs of a member. Each plan, however, must address: Data back-up and recovery (hard copy and electronic); All mission critical systems; Financial and operational assessments; and Alternate communications between customers and the member. If a member relies on another entity, the member's business continuity plan must address this relationship.",Business Continuity Planning
